window_start	window_end	cigar_string
122344768	122345767	4634=1X3878=
122345768	122346767	3878=
122346768	122347767	3878=
122347768	122348767	3878=
122348768	122349767	3878=1X1833=
122349768	122350767	1833=
122350768	122351767	1833=1X4942=
122351768	122352767	4942=
122352768	122353767	4942=
122353768	122354767	4942=
122354768	122355767	4942=
122355768	122356767	4942=1X1543=
122356768	122357767	1543=2380I2340=
122357768	122358767	2340=
122358768	122359767	2340=
122359768	122360767	2340=3738I3211=
122360768	122361767	3211=
122361768	122362767	3211=
122362768	122363767	3211=1X927=
122363768	122364767	927=1X2457=
122364768	122365767	2457=
122365768	122366767	2457=1X418=
122366768	122367767	418=1X559=1X499=
122367768	122368767	499=1X920=
122368768	122369767	920=1X6532=
122369768	122370767	6532=
122370768	122371767	6532=
122371768	122372767	6532=
122372768	122373767	6532=
122373768	122374767	6532=
122374768	122375767	6532=1X406=
122375768	122376767	406=91419D
122376768	122377767	91419D
122377768	122378767	91419D
122378768	122379767	91419D
122379768	122380767	91419D
122380768	122381767	91419D
122381768	122382767	91419D
122382768	122383767	91419D
122383768	122384767	91419D
122384768	122385767	91419D
122385768	122386767	91419D
122386768	122387767	91419D
122387768	122388767	91419D
122388768	122389767	91419D
122389768	122390767	91419D
122390768	122391767	91419D
122391768	122392767	91419D
122392768	122393767	91419D
122393768	122394767	91419D
122394768	122395767	91419D
122395768	122396767	91419D
122396768	122397767	91419D
122397768	122398767	91419D
122398768	122399767	91419D
122399768	122400767	91419D
122400768	122401767	91419D
122401768	122402767	91419D
122402768	122403767	91419D
122403768	122404767	91419D
122404768	122405767	91419D
122405768	122406767	91419D
122406768	122407767	91419D
122407768	122408767	91419D
122408768	122409767	91419D
122409768	122410767	91419D
122410768	122411767	91419D
122411768	122412767	91419D
122412768	122413767	91419D
122413768	122414767	91419D
122414768	122415767	91419D
122415768	122416767	91419D
122416768	122417767	91419D
122417768	122418767	91419D
122418768	122419767	91419D
122419768	122420767	91419D
122420768	122421767	91419D
122421768	122422767	91419D
122422768	122423767	91419D
122423768	122424767	91419D
122424768	122425767	91419D
122425768	122426767	91419D
122426768	122427767	91419D
122427768	122428767	91419D
122428768	122429767	91419D
122429768	122430767	91419D
122430768	122431767	91419D
122431768	122432767	91419D
122432768	122433767	91419D
122433768	122434767	91419D
122434768	122435767	91419D
122435768	122436767	91419D
122436768	122437767	91419D
122437768	122438767	91419D
122438768	122439767	91419D
122439768	122440767	91419D
122440768	122441767	91419D
122441768	122442767	91419D
122442768	122443767	91419D
122443768	122444767	91419D
122444768	122445767	91419D
122445768	122446767	91419D
122446768	122447767	91419D
122447768	122448767	91419D
122448768	122449767	91419D
122449768	122450767	91419D
122450768	122451767	91419D
122451768	122452767	91419D
122452768	122453767	91419D
122453768	122454767	91419D
122454768	122455767	91419D
122455768	122456767	91419D
122456768	122457767	91419D
122457768	122458767	91419D
122458768	122459767	91419D
122459768	122460767	91419D
122460768	122461767	91419D
122461768	122462767	91419D
122462768	122463767	91419D
122463768	122464767	91419D
122464768	122465767	91419D
122465768	122466767	91419D
122466768	122467767	91419D265=1X4765=
122467768	122468767	4765=
122468768	122469767	4765=
122469768	122470767	4765=
122470768	122471767	4765=
122471768	122472767	4765=1X473=1X1828=
122472768	122473767	1828=
122473768	122474767	1828=1X1169=
122474768	122475767	1169=1X1834=
122475768	122476767	1834=
122476768	122477767	1834=1X7431=
122477768	122478767	7431=
122478768	122479767	7431=
122479768	122480767	7431=
122480768	122481767	7431=
122481768	122482767	7431=
122482768	122483767	7431=
122483768	122484767	7431=
122484768	122485767	7431=4760D
122485768	122486767	4760D
122486768	122487767	4760D
122487768	122488767	4760D
122488768	122489767	4760D6002=
122489768	122490767	6002=
122490768	122491767	6002=
122491768	122492767	6002=
122492768	122493767	6002=
122493768	122494767	6002=
122494768	122495767	6002=1X411=
122495768	122496767	411=1X3121=
122496768	122497767	3121=
122497768	122498767	3121=
122498768	122499767	3121=1X200=1X145=1X4029=
122499768	122500767	4029=
122500768	122501767	4029=
122501768	122502767	4029=
122502768	122503767	4029=1700D
122503768	122504767	1700D
122504768	122505767	1700D1103=
122505768	122506767	1103=1X116=1X235=
122506768	122507767	235=1X290=1X12053=
122507768	122508767	12053=
122508768	122509767	12053=
122509768	122510767	12053=
122510768	122511767	12053=
122511768	122512767	12053=
122512768	122513767	12053=
122513768	122514767	12053=
122514768	122515767	12053=
122515768	122516767	12053=
122516768	122517767	12053=
122517768	122518767	12053=
122518768	122519767	12053=1X82=1X33=340I6988=
122519768	122520767	6988=
122520768	122521767	6988=
122521768	122522767	6988=
122522768	122523767	6988=
122523768	122524767	6988=
122524768	122525767	6988=
122525768	122526767	6988=1X4750=
122526768	122527767	4750=
122527768	122528767	4750=
122528768	122529767	4750=
122529768	122530767	4750=
122530768	122531767	4750=1X11350=
122531768	122532767	11350=
122532768	122533767	11350=
122533768	122534767	11350=
122534768	122535767	11350=
122535768	122536767	11350=
122536768	122537767	11350=
122537768	122538767	11350=
122538768	122539767	11350=
122539768	122540767	11350=
122540768	122541767	11350=
122541768	122542767	11350=1X4251=
122542768	122543767	4251=
122543768	122544767	4251=
122544768	122545767	4251=
122545768	122546767	4251=4415I6829=
122546768	122547767	6829=
122547768	122548767	6829=
122548768	122549767	6829=
122549768	122550767	6829=
122550768	122551767	6829=
122551768	122552767	6829=
122552768	122553767	6829=1X1165=
122553768	122554767	1165=1X952=
122554768	122555767	952=1X26=1X1282=
122555768	122556767	1282=
122556768	122557767	1282=1X9=1X2=1X20=1X23=1X545=1X2040=
122557768	122558767	2040=
122558768	122559767	2040=2I785=
122559768	122560767	785=1019I7988=
122560768	122561767	7988=
122561768	122562767	7988=
122562768	122563767	7988=
122563768	122564767	7988=
122564768	122565767	7988=
122565768	122566767	7988=
122566768	122567767	7988=
122567768	122568767	7988=1X1951=
122568768	122569767	1951=
122569768	122570767	1951=1X300=1X1556=
122570768	122571767	1556=
122571768	122572767	1556=1X18=1X88=1X418=1X153=
122572768	122573767	153=1X5=1X6=1X3=1I1=1X4=1X161=1X26=1X12=1X119=1X11=1X1I3=1D34=1X12=1X26=1X24=5D3=1D2=334D4=1X10=1X10=1X1099=
122573768	122574767	1099=1X104=
122574768	122575767	104=3057D
122575768	122576767	3057D
122576768	122577767	3057D
122577768	122578767	3057D391=1D474=1X4030=
122578768	122579767	4030=
122579768	122580767	4030=
122580768	122581767	4030=
122581768	122582767	4030=1X1639=
122582768	122583767	1639=
122583768	122584767	1639=1X819=
122584768	122585767	819=680D
122585768	122586767	680D71=1X2715=
122586768	122587767	2715=
122587768	122588767	2715=1X40=1X2477=
122588768	122589767	2477=
122589768	122590767	2477=
122590768	122591767	2477=1X304=1X6110=
122591768	122592767	6110=
122592768	122593767	6110=
122593768	122594767	6110=
122594768	122595767	6110=
122595768	122596767	6110=
122596768	122597767	6110=1X6667=
122597768	122598767	6667=
122598768	122599767	6667=
122599768	122600767	6667=
122600768	122601767	6667=
122601768	122602767	6667=
122602768	122603767	6667=
122603768	122604767	6667=1X8=1X139=1X1838=
122604768	122605767	1838=
122605768	122606767	1838=1X1498=
122606768	122607767	1498=
122607768	122608767	1498=1X7130=
122608768	122609767	7130=
122609768	122610767	7130=
122610768	122611767	7130=
122611768	122612767	7130=
122612768	122613767	7130=
122613768	122614767	7130=
122614768	122615767	7130=1X2617=
122615768	122616767	2617=
122616768	122617767	2617=1X3691=
122617768	122618767	3691=
122618768	122619767	3691=
122619768	122620767	3691=
122620768	122621767	3691=1X3735=
122621768	122622767	3735=
122622768	122623767	3735=
122623768	122624767	3735=
122624768	122625767	3735=2X6794=
122625768	122626767	6794=
122626768	122627767	6794=
122627768	122628767	6794=
122628768	122629767	6794=
122629768	122630767	6794=
122630768	122631767	6794=1X5570=
122631768	122632767	5570=
122632768	122633767	5570=
122633768	122634767	5570=
122634768	122635767	5570=
122635768	122636767	5570=
122636768	122637767	5570=1700D
122637768	122638767	1700D
122638768	122639767	1700D855=
122639768	122640767	855=1X2398=
122640768	122641767	2398=
122641768	122642767	2398=1X285=1X2323=
122642768	122643767	2323=
122643768	122644767	2323=
122644768	122645767	2323=1X6034=
122645768	122646767	6034=
122646768	122647767	6034=
122647768	122648767	6034=
122648768	122649767	6034=
122649768	122650767	6034=
122650768	122651767	6034=1X1377=
122651768	122652767	1377=1X2887=
122652768	122653767	2887=
122653768	122654767	2887=
122654768	122655767	2887=2717I1711=
122655768	122656767	1711=
122656768	122657767	1711=1X2329=
122657768	122658767	2329=
122658768	122659767	2329=1X1158=
122659768	122660767	1158=1X226=60D253=
122660768	122661767	253=97I1045=
122661768	122662767	1045=1X1934=
122662768	122663767	1934=
122663768	122664767	1934=1X918=
122664768	122665767	918=1X31=1X13=2719I854=1X1046=
122665768	122666767	1046=
122666768	122667767	1046=1X1032=
122667768	122668767	1032=5443D
122668768	122669767	5443D
122669768	122670767	5443D
122670768	122671767	5443D
122671768	122672767	5443D
122672768	122673767	5443D376=1X2598=
122673768	122674767	2598=
122674768	122675767	2598=
122675768	122676767	2598=1X1519=
122676768	122677767	1519=1X3118=
122677768	122678767	3118=
122678768	122679767	3118=
122679768	122680767	3118=
122680768	122681767	3118=1X51=1X12=2X2=1X4=1X1=1X8=1X10=1X6=1X8=1X14=1I2=1D6=1X2=1X3=1X2=1X11=1D14=1X12=1X11=1X1=1X2=2X20=1X6=1X16=2X3=1X3=1X27=1X5=1X3=2X4=1X3=1X21=1X3=1X5=1X1=1X1=1X11=1X5=1X23=1X22=1X3=1X3=1X1=1X8=1X12=1X6=1X12=1X8=1I2=1D5=1X10=1X4=1X2=1X10=1X1=1X1=1I1=1D14=1X4=1X2=1X5=1X1=1X11=1X22=1X64=1X38=1X12=1X16=1X45=1X2=1X22=1X22=1I3=1X6=1X7=1X6=1X13=2I7=2D19=1X20=1X21=
122681768	122682767	21=1X7=1X3=2X3=1X3=1X1=1X13=1X11=1X9=2X4=1X3=1X2=1X18=1X3=1X5=1X1=1X1=1X5=1X10=1D2=1I22=1X22=1X3=1X3=1X10=1X12=1X6=1X1=1X10=1X8=1I2=1D5=1X10=1X20=1X1=1I3=1D12=1X4=1X2=1X5=1X1=1X11=1X22=1X5=1X40=1X12=1X3=1X4=1D34=1X11=2X36=1X1=1X5=1X6=1X10=1X74=1X13=1X9=1X17=1X42=1X7=1X3=2X3=1X3=1X19=1X7=1X9=2X4=1X1=1I2=1D17=1X3=1X3=1X5=1X1=3X17=1X2=1X20=1X22=1X3=1X3=1X4=1X5=1X12=1X6=1X12=1X8=1D2=1I5=1X10=1X20=1X1=1D3=1I12=1X4=1X2=1X5=1X1=1X11=
122682768	122683767	11=1X22=1X5=1X372=1X4560=
122683768	122684767	4560=
122684768	122685767	4560=
122685768	122686767	4560=
122686768	122687767	4560=1X969=
122687768	122688767	969=1X1454=
122688768	122689767	1454=
122689768	122690767	1454=1X2255=
122690768	122691767	2255=
122691768	122692767	2255=1X771=
122692768	122693767	771=1358I2739=
122693768	122694767	2739=
122694768	122695767	2739=
122695768	122696767	2739=1X455=1X3570=
122696768	122697767	3570=
122697768	122698767	3570=
122698768	122699767	3570=
122699768	122700767	3570=1X881=
122700768	122701767	881=1X6382=
122701768	122702767	6382=
122702768	122703767	6382=
122703768	122704767	6382=
122704768	122705767	6382=
122705768	122706767	6382=
122706768	122707767	6382=1X2=2X131=1X4933=
122707768	122708767	4933=
122708768	122709767	4933=
122709768	122710767	4933=
122710768	122711767	4933=
122711768	122712767	4933=1X1140=
122712768	122713767	1140=1X2115=
122713768	122714767	2115=
122714768	122715767	2115=340I1561=
122715768	122716767	1561=
122716768	122717767	1561=1X6363=
122717768	122718767	6363=
122718768	122719767	6363=
122719768	122720767	6363=
122720768	122721767	6363=
122721768	122722767	6363=
122722768	122723767	6363=1X3219=
122723768	122724767	3219=
122724768	122725767	3219=
122725768	122726767	3219=1359D
122726768	122727767	1359D
122727768	122728767	1359D1015=
122728768	122729767	1015=1X9268=
122729768	122730767	9268=
122730768	122731767	9268=
122731768	122732767	9268=
122732768	122733767	9268=
122733768	122734767	9268=
122734768	122735767	9268=
122735768	122736767	9268=
122736768	122737767	9268=
122737768	122738767	9268=1X3867=
122738768	122739767	3867=
122739768	122740767	3867=
122740768	122741767	3867=
122741768	122742767	3867=2039I1169=
122742768	122743767	1169=1X425=
122743768	122744767	425=1X1604=
122744768	122745767	1604=4080I737=
122745768	122746767	737=1X1602=
122746768	122747767	1602=1X2393=
122747768	122748767	2393=
122748768	122749767	2393=
122749768	122750767	2393=1X2732=
122750768	122751767	2732=
122751768	122752767	2732=
122752768	122753767	2732=1X5024=
122753768	122754767	5024=
122754768	122755767	5024=
122755768	122756767	5024=
122756768	122757767	5024=
122757768	122758767	5024=1X1325=
122758768	122759767	1325=1X2097=
122759768	122760767	2097=
122760768	122761767	2097=1X389=1X2492=
122761768	122762767	2492=
122762768	122763767	2492=
122763768	122764767	2492=1X3612=
122764768	122765767	3612=
122765768	122766767	3612=
122766768	122767767	3612=
122767768	122768767	3612=3740I4366=
122768768	122769767	4366=
122769768	122770767	4366=
122770768	122771767	4366=
122771768	122772767	4366=1X2291=
122772768	122773767	2291=
122773768	122774767	2291=1X152=1X607=
122774768	122775767	607=3741I97=8163I1623=
122775768	122776767	1623=
122776768	122777767	1623=1X38=10884I2830=
122777768	122778767	2830=
122778768	122779767	2830=
122779768	122780767	2830=1X17=1X491=1X3191=
122780768	122781767	3191=
122781768	122782767	3191=
122782768	122783767	3191=1X5632=
122783768	122784767	5632=
122784768	122785767	5632=
122785768	122786767	5632=
122786768	122787767	5632=
122787768	122788767	5632=
122788768	122789767	5632=1X1316=
122789768	122790767	1316=1X489=
122790768	122791767	489=1X8153=
122791768	122792767	8153=
122792768	122793767	8153=
122793768	122794767	8153=
122794768	122795767	8153=
122795768	122796767	8153=
122796768	122797767	8153=
122797768	122798767	8153=
122798768	122799767	8153=1X1267=
122799768	122800767	1267=1X343=1X3222=
122800768	122801767	3222=
122801768	122802767	3222=
122802768	122803767	3222=
122803768	122804767	3222=1X243=1X637=
122804768	122805767	637=1X8799=
122805768	122806767	8799=
122806768	122807767	8799=
122807768	122808767	8799=
122808768	122809767	8799=
122809768	122810767	8799=
122810768	122811767	8799=
122811768	122812767	8799=
122812768	122813767	8799=1X3588=
122813768	122814767	3588=
