sample1,sample2,distance
HG00741.1,HG01167.2,0.847747
HG02293.1,NA20827.2,0.892406
HG02148.2,NA18974.1,0.889565
HG00438.2,NA18952.2,0.869840
HG01530.2,HG01952.1,0.849733
HG00438.2,HG01175.1,0.872699
HG00280.2,NA19682.1,0.864646
HG00097.2,HG02300.1,0.868478
HG01975.1,HG02300.1,0.849523
HG00344.2,HG00597.2,0.865274
HG03834.2,NA18974.1,0.816813
HG02514.2,HG03239.1,0.854455
HG00438.2,NA18983.1,0.892718
HG01192.2,NA18945.1,0.877641
HG01952.1,NA18945.1,0.877037
HG00741.1,HG01975.1,0.834208
HG00438.2,HG01081.2,0.850050
HG00344.2,HG01361.1,0.897626
HG02514.2,HG03688.2,0.858288
HG00438.2,HG01940.1,0.852376
HG00741.1,HG01975.2,0.871434
HG03874.1,NA19682.1,0.852927
